run_id,tier,evidence_class,benchmark,arch,lambda,lambda_regime,seed,final_id_acc,final_ood_acc,mean_whitened_gca,top_hessian_eig,wall_clock_sec,status
506,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,1057,91.92501802451334,82.4074074074074,0.05072168219434934,0.00018938157882075757,18.562178134918213,PASS
507,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,1099,90.75539568345323,83.14814814814815,0.11868442440462734,0.0001343868934782222,18.619085788726807,PASS
508,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,1141,90.42172980700501,92.22222222222223,0.10418466327738336,0.00010924250091193244,18.658299922943115,PASS
509,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,1183,93.48137535816619,88.70370370370371,0.04783223624418362,0.0001373306877212599,18.771233797073364,PASS
510,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,1225,90.66762383345298,88.33333333333333,0.03728151303737613,0.0017277123406529427,18.637974500656128,PASS
511,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,7,90.02153625269203,87.96296296296296,0.02005189413645179,0.00014241249300539494,18.622971534729004,PASS
512,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,49,94.10293066476055,66.2962962962963,0.052161659105506575,0.00018484810425434262,18.688976526260376,PASS
513,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,91,87.68683274021353,69.07407407407408,0.09225916311310932,0.00011463627743069082,18.72755002975464,PASS
514,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,133,89.64899713467048,74.25925925925925,0.1085776303422274,0.00018967961659654975,18.385196685791016,PASS
515,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,175,90.92208720514652,72.5925925925926,0.03959300583389518,4.781583265867084e-05,18.66367816925049,PASS
516,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,217,89.11032028469751,78.14814814814814,0.024545300364741843,7.979650399647653e-05,18.708144426345825,PASS
517,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,259,91.36690647482014,80.74074074074075,0.023357508576967556,0.00018001534044742584,18.5647976398468,PASS
518,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,301,92.46231155778895,76.85185185185185,0.037813535604956906,0.00013824172492604703,18.42197871208191,PASS
519,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,343,91.36819484240688,83.33333333333334,0.09188278526996925,0.0,18.531609296798706,PASS
520,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,385,92.92893036611629,86.29629629629629,0.06940282933328312,0.00013289008347783238,18.58826494216919,PASS
521,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,427,94.26934097421203,88.51851851851852,0.054794464822083756,0.00015764326963108033,18.786010026931763,PASS
522,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,469,92.57390050468636,87.03703703703704,0.09010332712574254,0.00010132300667464733,18.73121738433838,PASS
523,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,511,92.20640569395017,80.55555555555556,0.06925559024124105,0.00026852762675844133,18.58688998222351,PASS
524,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,553,88.31308077198,84.07407407407408,0.09097618455909073,7.370987441390753e-05,18.519571781158447,PASS
525,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,595,91.05984138428262,75.92592592592592,0.07146665177498569,8.232320396928117e-05,18.567338466644287,PASS
526,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,637,93.00426136363636,81.2962962962963,0.045807727504287084,0.00010971492883982137,18.636787176132202,PASS
527,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,679,93.80372492836676,77.77777777777779,0.021205375892652468,0.00031303620198741555,18.66434955596924,PASS
528,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,721,92.58992805755396,82.77777777777777,0.053232649844162566,0.0,18.644722938537598,PASS
529,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,763,90.14388489208633,87.77777777777777,0.03155349690020426,0.00020129082258790731,18.770267009735107,PASS
530,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,805,92.1919770773639,80.18518518518518,0.08556329681704926,0.00020836775365751237,18.63955783843994,PASS
531,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,847,89.18338108882521,87.03703703703704,0.03969298994399495,8.059696847340092e-05,18.665709257125854,PASS
532,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,889,90.9578270192995,84.81481481481481,0.08547781918590795,9.759385284269229e-05,18.525567770004272,PASS
533,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,931,91.1722659042173,85.92592592592592,0.09718327446710368,8.970224007498473e-05,18.631734132766724,PASS
534,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,973,91.33380884450784,82.77777777777777,0.0497239171438473,0.0,18.613348245620728,PASS
535,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,1015,90.18826937002173,88.33333333333333,0.0787627266144244,0.001128277275711298,18.548850059509277,PASS
536,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,1057,90.62725306416726,83.14814814814815,0.04512035026659103,0.00023857374617364258,18.62214970588684,PASS
537,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,1099,89.06474820143885,75.37037037037037,0.09975725300565501,0.00011821085354313254,18.65225100517273,PASS
538,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,1141,89.81415296640456,85.37037037037038,0.040027304741282396,0.002047878224402666,18.62842607498169,PASS
539,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,1183,94.59169054441261,88.14814814814815,0.09211560938651998,4.371394607005641e-05,18.824198484420776,PASS
540,tier_1_primary_change_point,primary,cogs,transformer_2l,0.5,supercritical,1225,91.67264895908112,79.44444444444444,0.06848418520729997,0.00013337274140212685,18.57750654220581,PASS
541,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,7,95.67147613762486,66.640625,0.9999999805386363,7.7762124419678e-06,10.627290487289429,PASS
542,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,49,90.70548712206048,67.65625,0.999999995813699,0.0,10.527462720870972,PASS
543,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,91,92.73927392739274,60.15625,1.0000000128558977,2.3326034352066927e-05,10.669369220733643,PASS
544,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,133,95.58011049723757,69.296875,1.000000042677378,2.8604565159184858e-05,10.662856578826904,PASS
545,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,175,94.14364640883977,60.0,1.0000000020511943,2.152258275600616e-06,10.567752122879028,PASS
546,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,217,92.1259842519685,60.703125,1.0000000461306187,8.69411542225862e-06,10.58546757698059,PASS
547,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,259,92.4092409240924,62.96874999999999,1.0000000257796404,2.6424236239108723e-06,10.553136587142944,PASS
548,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,301,92.86510590858417,74.296875,1.0000000264730855,2.218419649580028e-05,10.517072200775146,PASS
549,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,343,92.80261723009815,60.0,1.000000001395274,1.0007029231928755e-05,10.504112005233765,PASS
550,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,385,93.28932893289328,60.546875,1.0000000431591851,1.410097502230201e-05,10.531341075897217,PASS
551,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,427,94.32933478735005,66.484375,1.0000000245634444,9.479245636612177e-05,10.433786869049072,PASS
552,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,469,92.53065774804905,62.03125000000001,1.00000003328638,4.578248262987472e-05,10.48521900177002,PASS
553,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,511,92.66155531215772,60.0,0.9999999896904413,1.3220892469689716e-05,10.483525514602661,PASS
554,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,553,96.78135405105438,61.328125,1.000000002923464,3.068929800065234e-05,10.587724447250366,PASS
555,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,595,92.59668508287294,72.265625,0.9999999922904804,4.106992855668068e-05,10.587530374526978,PASS
556,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,637,95.40873460246361,58.51562500000001,0.9999999816918579,1.785068161552772e-05,10.53727650642395,PASS
557,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,679,91.5273132664437,60.15625,0.9999999850544697,6.81692617945373e-05,10.585488557815552,PASS
558,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,721,94.40089585666294,71.640625,0.9999999838807417,4.018727850052528e-05,10.41432499885559,PASS
559,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,763,92.68841394825647,56.25,1.0000000203103656,5.0316511988057755e-06,10.517973899841309,PASS
560,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,805,94.41401971522454,64.296875,1.0000000086477938,6.625233072554693e-05,10.550239324569702,PASS
561,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,847,91.1991199119912,67.109375,0.9999999677446484,1.5117409930098802e-05,10.568621397018433,PASS
562,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,889,93.23882224645584,60.0,0.9999999744174758,3.391250720596872e-05,10.407673835754395,PASS
563,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,931,96.80968096809681,54.37499999999999,0.9999999962465206,2.5931920390576124e-05,10.501003980636597,PASS
564,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,973,96.24309392265194,56.32812499999999,0.9999999833119705,2.8251584808458574e-05,10.517012119293213,PASS
565,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,1015,91.33858267716536,73.28125,0.9999999685028763,2.1006393581046723e-05,10.491103172302246,PASS
566,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,1057,93.39305711086226,57.96875,0.9999999935416316,3.0108411010587588e-05,10.507715702056885,PASS
567,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,1099,93.70165745856353,80.390625,0.9999999642664879,1.152500590251293e-05,10.642714738845825,PASS
568,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,1141,94.56159822419534,62.265625,1.000000008208081,5.5463988246629015e-05,10.452347040176392,PASS
569,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,1183,92.89678135405104,55.15624999999999,0.9999999714139972,1.438874278392177e-05,10.568891286849976,PASS
570,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.0,subcritical,1225,95.67147613762486,56.25,1.0000000010700842,1.2359680113149807e-05,10.41391110420227,PASS
571,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,7,93.89567147613762,71.5625,0.0949519041827388,1.888907172542531e-05,18.36965036392212,PASS
572,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,49,95.96864501679731,68.75,0.07204695799205559,1.9816048734355718e-05,18.32636332511902,PASS
573,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,91,96.36963696369637,63.59375000000001,0.02023192428660022,1.744119253999088e-05,18.408401250839233,PASS
574,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,133,95.13812154696133,87.578125,0.04617780260497883,1.4373820704349782e-05,18.513124227523804,PASS
575,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,175,95.2486187845304,82.03125,-0.04676114335720524,4.532354068942368e-05,18.54272174835205,PASS
576,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,217,95.83802024746907,70.390625,0.06376137032208895,4.516443732427433e-05,18.683591604232788,PASS
577,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,259,91.96919691969197,82.8125,0.10503051563256856,6.442538051487645e-06,18.727591276168823,PASS
578,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,301,95.31772575250837,63.74999999999999,0.05303259557995854,1.9607592548709363e-05,18.84116816520691,PASS
579,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,343,92.36641221374046,67.65625,0.012975013312413977,5.474769750435371e-06,18.706919193267822,PASS
580,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,385,96.69966996699671,63.74999999999999,0.02854339429845791,3.8850586861371994e-05,18.713382959365845,PASS
581,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,427,92.25736095965104,60.0,0.018074319223749247,1.9123370975648868e-07,18.467466831207275,PASS
582,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,469,93.19955406911929,62.57812499999999,0.1126997792802834,3.139218097203411e-05,18.218297243118286,PASS
583,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,511,92.33296823658269,66.09375,0.09487232837527011,2.2383095711120404e-05,18.69988226890564,PASS
584,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,553,93.45172031076582,75.78125,0.08519285431138383,0.00023900855740066618,18.674774408340454,PASS
585,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,595,95.58011049723757,90.15625,0.05171238554040527,2.063353531411849e-05,18.751832723617554,PASS
586,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,637,92.60918253079508,68.28125,0.07130354497451079,2.404789483989589e-05,18.699390172958374,PASS
587,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,679,91.75027870680044,60.0,0.0867175651174686,3.470851879683323e-05,18.585437059402466,PASS
588,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,721,94.62486002239642,63.74999999999999,0.04280589399684707,4.521637492871378e-06,18.649691104888916,PASS
589,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,763,93.7007874015748,63.828125,0.05306717296521398,7.304281979259031e-08,18.70997977256775,PASS
590,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,805,93.2092004381161,70.0,0.06594646573993714,5.1140337745891884e-05,18.5405216217041,PASS
591,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,847,92.84928492849285,61.01562499999999,0.050261741362904906,3.370064587215893e-05,18.63101601600647,PASS
592,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,889,93.5659760087241,60.546875,0.09401894210557225,1.3371682143770158e-05,18.52592658996582,PASS
593,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,931,95.26952695269527,75.234375,0.09421902475668122,4.527221608441323e-05,18.73556661605835,PASS
594,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,973,95.58011049723757,78.75,0.02902786760569631,2.370323818468023e-05,18.644299268722534,PASS
595,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,1015,94.71316085489315,70.15625,0.10017985730296912,3.6635476135415956e-05,18.603855848312378,PASS
596,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,1057,93.28107502799551,74.140625,0.0777856030732924,0.0,18.637481689453125,PASS
597,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,1099,96.13259668508287,89.609375,0.04192828506195296,1.6156269339262508e-05,18.71457600593567,PASS
598,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,1141,91.89789123196448,70.703125,-0.01871821192253452,1.574522684677504e-05,18.645412921905518,PASS
599,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,1183,94.00665926748057,74.375,0.08987500206477662,4.4973098738410044e-06,18.623705625534058,PASS
600,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.015,subcritical,1225,95.56048834628191,76.25,0.05445869275797843,5.0944494432769716e-05,18.69258213043213,PASS
601,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,7,96.55937846836848,59.84374999999999,0.08260487264761239,4.7028312110342085e-05,18.46821904182434,PASS
602,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,49,95.74468085106383,87.03125,0.044381910229939765,7.397173249046318e-06,18.859435558319092,PASS
603,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,91,96.03960396039604,67.65625,-0.0040801613604454015,3.2184547308133915e-05,18.682950019836426,PASS
604,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,133,92.15469613259668,70.3125,0.014154227083315733,2.405202940281015e-05,18.76033854484558,PASS
605,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,175,94.9171270718232,71.25,0.08163306340585263,4.427634848980233e-05,18.558056592941284,PASS
606,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,217,95.16310461192352,60.0,0.08240947400737102,2.803808638418559e-05,18.312581777572632,PASS
607,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,259,93.94939493949394,81.796875,0.058267143853866964,6.5125373112095986e-06,18.50038719177246,PASS
608,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,301,93.75696767001115,66.328125,0.05368651649970816,2.457774280628655e-05,18.380130290985107,PASS
609,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,343,92.25736095965104,60.0,0.00017172941654295648,1.5612698916811496e-05,18.488327264785767,PASS
610,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,385,95.92959295929593,74.53125,0.10844833703670458,1.6213585695368238e-05,18.39574956893921,PASS
611,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,427,94.43838604143949,68.28125,0.06498888589450191,3.077937799389474e-05,18.596165418624878,PASS
612,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,469,95.9866220735786,69.84375,0.06920232974866108,2.829172990459483e-05,18.590479135513306,PASS
613,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,511,93.31872946330778,61.875,0.059741185284648134,1.7843698515207507e-05,18.538995265960693,PASS
614,tier_1_primary_change_point,primary,pcfg_set,transformer_2l,0.02,boundary,553,93.89567147613762,48.90625,0.009692221812770414,0.0,18.49182939529419,PASS
