study_id,id,title,authors,year,doi,arxiv_id,source_db,journal,url
S045,P02_0633,Learning to Generalize Compositionally by Transferring Across Semantic Parsing Tasks,Wang Zhu; Peter Shaw; Tal Linzen; Fei Sha,2021,,2111.05013v1,arXiv:benchmark,,http://arxiv.org/abs/2111.05013v1
S046,P02_0634,Compositional generalization in semantic parsing with pretrained transformers,A. Emin Orhan,2021,,2109.15101v3,arXiv:benchmark,,http://arxiv.org/abs/2109.15101v3
S047,P02_0635,CNNs found to jump around more skillfully than RNNs: Compositional generalization in seq2seq convolutional networks,Roberto Dessì; Marco Baroni,2019,,1905.08527v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/1905.08527v1
S048,P02_0636,SUBS: Subtree Substitution for Compositional Semantic Parsing,Jingfeng Yang; Le Zhang; Diyi Yang,2022,,2205.01538v1,arXiv:benchmark,,http://arxiv.org/abs/2205.01538v1
S049,P02_0637,On graph-based reentrancy-free semantic parsing,Alban Petit; Caio Corro,2023,,2302.07679v1,arXiv:benchmark,,http://arxiv.org/abs/2302.07679v1
S050,P02_0638,LAGr: Labeling Aligned Graphs for Improving Systematic Generalization in Semantic Parsing,Dora Jambor; Dzmitry Bahdanau,2021,,2110.07572v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2110.07572v2
S051,P02_0639,ReCOGS: How Incidental Details of a Logical Form Overshadow an Evaluation of Semantic Interpretation,Zhengxuan Wu; Christopher D. Manning; Christopher Potts,2023,,2303.13716v2,arXiv:benchmark,,http://arxiv.org/abs/2303.13716v2
S052,P02_0640,ReaSCAN: Compositional Reasoning in Language Grounding,Zhengxuan Wu; Elisa Kreiss; Desmond C. Ong; Christopher Potts,2021,,2109.08994v1,arXiv:benchmark,,http://arxiv.org/abs/2109.08994v1
S053,P02_0642,Compositional Semantic Parsing with Large Language Models,Andrew Drozdov; Nathanael Schärli; Ekin Akyürek; Nathan Scales; Xinying Song; Xinyun Chen; Olivier Bousquet; Denny Zhou,2022,,2209.15003v2,arXiv:benchmark,,http://arxiv.org/abs/2209.15003v2
S054,P02_0643,A Benchmark for Systematic Generalization in Grounded Language Understanding,Laura Ruis; Jacob Andreas; Marco Baroni; Diane Bouchacourt; Brenden M. Lake,2020,,2003.05161v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2003.05161v2
S055,P02_0647,Compositional generalization through meta sequence-to-sequence learning,Brenden M. Lake,2019,,1906.05381v2,arXiv:benchmark,,http://arxiv.org/abs/1906.05381v2
S056,P02_0648,Inducing Transformer's Compositional Generalization Ability via Auxiliary Sequence Prediction Tasks,Yichen Jiang; Mohit Bansal,2021,,2109.15256v1,arXiv:benchmark,,http://arxiv.org/abs/2109.15256v1
S057,P02_0649,Laziness Is a Virtue When It Comes to Compositionality in Neural Semantic Parsing,Maxwell Crouse; Pavan Kapanipathi; Subhajit Chaudhury; Tahira Naseem; Ramon Astudillo; Achille Fokoue; Tim Klinger,2023,,2305.04346v1,arXiv:benchmark,,http://arxiv.org/abs/2305.04346v1
S058,P02_0651,Early-Warning Signals of Grokking via Loss-Landscape Geometry,Yongzhong Xu,2026,,2602.16967v3,"arXiv:benchmark, arXiv:broad",,http://arxiv.org/abs/2602.16967v3
S059,P02_0654,A Compositional Framework for Open-ended Intelligence,Ida Momennejad; Roberta Raileanu,2026,,2606.15386v2,arXiv:benchmark,,http://arxiv.org/abs/2606.15386v2
S060,P02_0657,Sequence-Level Mixed Sample Data Augmentation,Demi Guo; Yoon Kim; Alexander M. Rush,2020,,2011.09039v1,arXiv:benchmark,,http://arxiv.org/abs/2011.09039v1
S061,P02_0667,Does Data Scaling Lead to Visual Compositional Generalization?,Arnas Uselis; Andrea Dittadi; Seong Joon Oh,2025,,2507.07102v1,"arXiv:broad, arXiv:primary",,http://arxiv.org/abs/2507.07102v1
S062,P02_0668,Towards Robust Out-of-Distribution Generalization Bounds via Sharpness,Yingtian Zou; Kenji Kawaguchi; Yingnan Liu; Jiashuo Liu; Mong-Li Lee; Wynne Hsu,2024,,2403.06392v1,arXiv:broad,,http://arxiv.org/abs/2403.06392v1
S063,P02_0669,Aggregation Hides Out-of-Distribution Generalization Failures from Spurious Correlations,Olawale Salaudeen; Haoran Zhang; Kumail Alhamoud; Sara Beery; Marzyeh Ghassemi,2025,,2510.24884v1,arXiv:broad,,http://arxiv.org/abs/2510.24884v1
S064,P02_0673,Learning to Think in Physics: Breaking Shortcut Learning in Scientific Diffusion via Representation Alignment,Haozhe Jia; Pengyu Yin; Wenshuo Chen; Shaofeng Liang; Lei Wang; Bowen Tian; Xiucheng Wang; Nanqian Jia; Yutao Yue,2026,,2605.20780v1,arXiv:broad,,http://arxiv.org/abs/2605.20780v1
S065,P02_0678,"Sharp analysis of out-of-distribution error for ""importance-weighted"" estimators in the overparameterized regime",Kuo-Wei Lai; Vidya Muthukumar,2024,,2405.06546v1,arXiv:broad,,http://arxiv.org/abs/2405.06546v1
S066,P02_0679,Principled Out-of-Distribution Generalization via Simplicity,Jiawei Ge; Amanda Wang; Shange Tang; Chi Jin,2025,,2505.22622v1,arXiv:broad,,http://arxiv.org/abs/2505.22622v1
S067,P02_0688,Using Interventions to Improve Out-of-Distribution Generalization of Text-Matching Recommendation Systems,Parikshit Bansal; Yashoteja Prabhu; Emre Kiciman; Amit Sharma,2022,,2210.10636v2,arXiv:broad,,http://arxiv.org/abs/2210.10636v2
S068,P02_0689,Correct-N-Contrast: A Contrastive Approach for Improving Robustness to Spurious Correlations,Michael Zhang; Nimit S. Sohoni; Hongyang R. Zhang; Chelsea Finn; Christopher Ré,2022,,2203.01517v2,arXiv:broad,,http://arxiv.org/abs/2203.01517v2
S069,P02_0690,CausPref: Causal Preference Learning for Out-of-Distribution Recommendation,Yue He; Zimu Wang; Peng Cui; Hao Zou; Yafeng Zhang; Qiang Cui; Yong Jiang,2022,,2202.03984v2,arXiv:broad,,http://arxiv.org/abs/2202.03984v2
S070,P02_0691,Invariant Graph Transformer for Out-of-Distribution Generalization,Tianyin Liao; Ziwei Zhang; Yufei Sun; Chunyu Hu; Jianxin Li,2025,,2508.00304v2,arXiv:broad,,http://arxiv.org/abs/2508.00304v2
S071,P02_0692,Fishr: Invariant Gradient Variances for Out-of-Distribution Generalization,Alexandre Rame; Corentin Dancette; Matthieu Cord,2021,,2109.02934v3,arXiv:broad,,http://arxiv.org/abs/2109.02934v3
S072,P02_0693,Early Period of Training Impacts Adaptation for Out-of-Distribution Generalization: An Empirical Study,Chen Cecilia Liu; Iryna Gurevych,2024,,2403.15210v2,arXiv:broad,,http://arxiv.org/abs/2403.15210v2
