study_id,id,title,authors,year,doi,arxiv_id,source_db,journal,url
S033,P02_0621,Revisiting the Compositional Generalization Abilities of Neural Sequence Models,Arkil Patel; Satwik Bhattamishra; Phil Blunsom; Navin Goyal,2022,,2203.07402v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2203.07402v1
S034,P02_0622,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,Daniel Keysers; Nathanael Schärli; Nathan Scales; Hylke Buisman; Daniel Furrer; Sergii Kashubin; Nikola Momchev; Danila Sinopalnikov; Lukasz Stafiniak; Tibor Tihon; Dmitry Tsarkov; Xiao Wang; Marc van Zee; Olivier Bousquet,2019,,1912.09713v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/1912.09713v2
S035,P02_0623,Recursive Decoding: A Situated Cognition Approach to Compositional Generation in Grounded Language Understanding,Matthew Setzler; Scott Howland; Lauren Phillips,2022,,2201.11766v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2201.11766v2
S036,P02_0624,Compositional Generalization without Trees using Multiset Tagging and Latent Permutations,Matthias Lindemann; Alexander Koller; Ivan Titov,2023,,2305.16954v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2305.16954v1
S037,P02_0625,Compositional Generalization via Neural-Symbolic Stack Machines,Xinyun Chen; Chen Liang; Adams Wei Yu; Dawn Song; Denny Zhou,2020,,2008.06662v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2008.06662v2
S038,P02_0626,Compositional Generalization for Primitive Substitutions,Yuanpeng Li; Liang Zhao; Jianyu Wang; Joel Hestness,2019,,1910.02612v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/1910.02612v1
S039,P02_0627,Uncontrolled Lexical Exposure Leads to Overestimation of Compositional Generalization in Pretrained Models,Najoung Kim; Tal Linzen; Paul Smolensky,2022,,2212.10769v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2212.10769v1
S040,P02_0628,A Neuroscience-Inspired Dual-Process Model of Compositional Generalization,Alex Noviello; Claas Beger; Jacob Groner; Kevin Ellis; Weinan Sun,2025,,2507.18868v3,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2507.18868v3
S041,P02_0629,Compositional generalization in a deep seq2seq model by separating syntax and semantics,Jake Russin; Jason Jo; Randall C. O'Reilly; Yoshua Bengio,2019,,1904.09708v3,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/1904.09708v3
S042,P02_0630,Compositional Generalization and Decomposition in Neural Program Synthesis,Kensen Shi; Joey Hong; Manzil Zaheer; Pengcheng Yin; Charles Sutton,2022,,2204.03758v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2204.03758v1
S043,P02_0631,Learning to Recombine and Resample Data for Compositional Generalization,Ekin Akyürek; Afra Feyza Akyürek; Jacob Andreas,2020,,2010.03706v6,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2010.03706v6
S044,P02_0632,Can Transformers Jump Around Right in Natural Language? Assessing Performance Transfer from SCAN,Rahma Chaabouni; Roberto Dessì; Eugene Kharitonov,2021,,2107.01366v2,arXiv:benchmark,,http://arxiv.org/abs/2107.01366v2
