study_id,id,title,year,overall,peer_reviewed,code_available,n_seeds_value,task_primary,benchmark_family,arch_family,model_scale_category,train_regime_sigma,baseline_regime,id_acc_mean,ood_acc_mean,id_acc_sd,ood_acc_sd,id_ood_gap,lor,cohens_d,gap_se,outlier,interventional,schema_coherence_measured,repr_analysis,relevance_sigma_trap,relevance_alignment,S0,S1_not_high,S2_low_only,S3_peer_reviewed,S4_code,S5_seeds_ge3
S189,P02_0852,Local Mechanisms of Compositional Generalization in Conditional Diffusion,2025,HIGH,FALSE,FALSE,,custom,custom,diffusion,unspecified,not_applicable,,,,,,,,,,False,False,TRUE,other,5,2,True,False,False,False,False,False
S190,P02_0853,A Theoretical Analysis of Compositional Generalization in Neural Networks: A Necessary and Sufficient Condition,2025,HIGH,FALSE,TRUE,5,custom,custom,mlp,unspecified,not_applicable,,,1.0,,0.0,,,,,False,False,FALSE,other,5,2,True,False,False,False,True,True
S191,P02_0854,The Role of Linguistic Priors in Measuring Compositional Generalization of Vision-Language Models,2023,HIGH,TRUE,,,custom,custom,vit,unspecified,not_applicable,other,,0.749,,,,,,,False,False,FALSE,none,4,2,True,False,False,True,False,False
S192,P02_0855,Compositional Generalization and Natural Language Variation: Can a Semantic Parsing Approach Handle Both?,2020,HIGH,FALSE,,,GeoQuery,GeoQuery,transformer,unspecified,not_applicable,,0.929,0.543,,,0.386,2.3990029327327926,,0.05604551721592013,False,False,FALSE,none,4,1,True,False,False,False,False,False
S193,P02_0856,Enhancing Compositional Generalization via Compositional Feature Alignment,2024,HIGH,TRUE,TRUE,,custom,custom,vit,unspecified,not_applicable,standard_Adam,0.943,0.543,,,0.4,2.6335890857591755,,0.05494560946972925,False,False,FALSE,other,4,2,True,False,False,True,True,False
S194,P02_0857,Evaluating Morphological Compositional Generalization in Large Language Models,2024,HIGH,FALSE,FALSE,,custom,custom,transformer,large,not_applicable,,0.542,0.439,,,0.103,0.41361830977298636,,0.07032176050128437,False,False,FALSE,none,4,1,True,False,False,False,False,False
S195,P02_0858,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,2022,HIGH,FALSE,FALSE,,CFQ,CFQ,transformer,large,,,,,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,False,False
S196,P02_0859,Real-World Compositional Generalization with Disentangled Sequence-to-Sequence Learning,2022,HIGH,FALSE,,5,custom,custom,transformer,unspecified,not_applicable,,0.707,0.634,,,0.073,0.3314424358436455,,0.29637644980666056,False,False,FALSE,none,4,1,True,False,False,False,False,True
S197,P02_0861,Improving Compositional Generalization with Latent Structure and Data Augmentation,2021,HIGH,FALSE,FALSE,,GeoQuery,GeoQuery,transformer,unspecified,not_applicable,,,0.749,,,,,,,False,False,FALSE,none,4,2,True,False,False,False,False,False
S198,P02_0862,Compositional Generalization in Image Captioning,2019,HIGH,FALSE,FALSE,,custom,custom,rnn_family,unspecified,not_applicable,standard_Adam,,0.3329,,,,,,,False,False,FALSE,none,4,1,True,False,False,False,False,False
