id,title,year,doi,arxiv_id,url,decision,status,attempts,pdf_path
P02_0693,Early Period of Training Impacts Adaptation for Out-of-Distribution Generalization: An Empirical Study,2024,,2403.15210v2,http://arxiv.org/abs/2403.15210v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0693_Liu_2024.pdf
P02_0702,Benign Overfitting in Out-of-Distribution Generalization of Linear Models,2024,,2412.14474v1,http://arxiv.org/abs/2412.14474v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0702_Tang_2024.pdf
P02_0703,Can Agents Run Relay Race with Strangers? Generalization of RL to Out-of-Distribution Trajectories,2023,,2304.13424v1,http://arxiv.org/abs/2304.13424v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0703_Lan_2023.pdf
P02_0708,Making Foresight Actionable: Repurposing Representation Alignment in World Action Models,2026,,2606.12217v1,http://arxiv.org/abs/2606.12217v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0708_Qiu_2026.pdf
P02_0712,Low-rank Orthogonal Subspace Intervention for Generalizable Face Forgery Detection,2026,,2601.11915v2,http://arxiv.org/abs/2601.11915v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0712_Wang_2026.pdf
P02_0719,Temporal Representation Alignment: Successor Features Enable Emergent Compositionality in Robot Instruction Following,2025,,2502.05454v2,http://arxiv.org/abs/2502.05454v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0719_Myers_2025.pdf
P02_0724,General Greedy De-bias Learning,2021,,2112.10572v5,http://arxiv.org/abs/2112.10572v5,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0724_Han_2021.pdf
P02_0746,"Vision-Language-Action in Robotics: A Survey of Datasets, Benchmarks, and Data Engines",2026,,2604.23001v1,http://arxiv.org/abs/2604.23001v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0746_Wang_2026.pdf
P02_0753,Evaluating Reward Model Generalization via Pairwise Maximum Discrepancy Competitions,2026,,2601.16987v1,http://arxiv.org/abs/2601.16987v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0753_Luo_2026.pdf
P02_0768,Neural Language of Thought Models,2024,,2402.01203v2,http://arxiv.org/abs/2402.01203v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0768_Wu_2024.pdf
