id,title,year,source,url,priority,doi,status
P02_0869,ChatGPT as Data Augmentation for Compositional Generalization: A Case Study in Open Intent Detection,2023,arxiv,https://arxiv.org/pdf/2308.13517,1,,pending
P02_0872,Compositional generalization through abstract representations in human and artificial neural networks,2022,arxiv,https://arxiv.org/pdf/2209.07431,1,,pending
P02_0873,Systematic Generalization in Language Models Scales with Information Entropy,2025,arxiv,https://arxiv.org/pdf/2505.13089,1,,pending
P02_0874,How Modular Should Neural Module Networks Be for Systematic Generalization?,2021,arxiv,https://arxiv.org/pdf/2106.08170,1,,pending
P02_0877,SPOR: A Comprehensive and Practical Evaluation Method for Compositional Generalization in Data-to-Text Generation,2024,arxiv,https://arxiv.org/pdf/2405.10650,1,,pending
P02_0878,Neural-Symbolic Recursive Machine for Systematic Generalization,2022,arxiv,https://arxiv.org/pdf/2210.01603,1,,pending
P02_0879,An explainable transformer circuit for compositional generalization,2025,arxiv,https://arxiv.org/pdf/2502.15801,1,,pending
P02_0881,Revisiting Compositional Generalization Capability of Large Language Models Considering Instruction Following Ability,2025,arxiv,https://arxiv.org/pdf/2506.15629,1,,pending
P02_0882,Differentiable Tree Operations Promote Compositional Generalization,2023,arxiv,https://arxiv.org/pdf/2306.00751,1,,pending
P02_0883,Factorization Regret mediates compositional generalization in latent space,2026,arxiv,https://arxiv.org/pdf/2603.27134,1,,pending
P02_0884,Counterfactual Recipe Generation: Exploring Compositional Generalization in a Realistic Scenario,2022,arxiv,https://arxiv.org/pdf/2210.11431,1,,pending
P02_0885,Swing-by Dynamics in Concept Learning and Compositional Generalization,2024,arxiv,https://arxiv.org/pdf/2410.08309,1,,pending
P02_0886,Measuring and Improving Compositional Generalization in Text-to-SQL via Component Alignment,2022,arxiv,https://arxiv.org/pdf/2205.02054,1,,pending
P02_0890,Compositional Generalization with Grounded Language Models,2024,arxiv,https://arxiv.org/pdf/2406.04989,1,,pending
P02_0891,Scaling can lead to compositional generalization,2025,arxiv,https://arxiv.org/pdf/2507.07207,1,,pending
P02_0893,Learning to Compose Representations of Different Encoder Layers towards Improving Compositional Generalization,2023,arxiv,https://arxiv.org/pdf/2305.12169,1,,pending
P02_0894,Systematic Generalization on gSCAN with Language Conditioned Embedding,2020,arxiv,https://arxiv.org/pdf/2009.05552,1,,pending
P02_0895,On a Built-in Conflict between Deep Learning and Systematic Generalization,2022,arxiv,https://arxiv.org/pdf/2208.11633,1,,pending
P02_0898,What Do You Need for Compositional Generalization in Diffusion Planning?,2025,arxiv,https://arxiv.org/pdf/2505.18083,1,,pending
P02_0899,D3: Data Diversity Design for Systematic Generalization in Visual Question Answering,2023,arxiv,https://arxiv.org/pdf/2309.08798,1,,pending
P02_0900,RoboHiMan: A Hierarchical Evaluation Paradigm for Compositional Generalization in Long-Horizon Manipulation,2025,arxiv,https://arxiv.org/pdf/2510.13149,1,,pending
P02_0901,AGEL-Comp: A Neuro-Symbolic Framework for Compositional Generalization in Interactive Agents,2026,arxiv,https://arxiv.org/pdf/2604.26522,1,,pending
P02_0903,Policy Architectures for Compositional Generalization in Control,2022,arxiv,https://arxiv.org/pdf/2203.05960,1,,pending
P02_0904,Transformer Module Networks for Systematic Generalization in Visual Question Answering,2022,arxiv,https://arxiv.org/pdf/2201.11316,1,,pending
P02_0906,Realistic Evaluation of Model Merging for Compositional Generalization,2024,arxiv,https://arxiv.org/pdf/2409.18314,1,,pending
P02_0907,Learning Algebraic Representation for Systematic Generalization in Abstract Reasoning,2021,arxiv,https://arxiv.org/pdf/2111.12990,1,,pending
P02_0913,Compositional-ARC: Assessing Systematic Generalization in Abstract Spatial Reasoning,2025,arxiv,https://arxiv.org/pdf/2504.01445,1,,pending
P02_0914,Impact of Pretraining Word Co-occurrence on Compositional Generalization in Multimodal Models,2025,arxiv,https://arxiv.org/pdf/2507.08000,1,,pending
P02_0915,Systematic Generalization in Neural Networks-based Multivariate Time Series Forecasting Models,2021,arxiv,https://arxiv.org/pdf/2102.05602,1,,pending
P02_0921,Measuring Systematic Generalization in Neural Proof Generation with Transformers,2020,arxiv,https://arxiv.org/pdf/2009.14786,1,,pending
P02_0922,Systematic Generalization on gSCAN: What is Nearly Solved and What is Next?,2021,arxiv,https://arxiv.org/pdf/2109.12243,1,,pending
P02_0926,Revisit Systematic Generalization via Meaningful Learning,2020,arxiv,https://arxiv.org/pdf/2003.06658,1,,pending
P02_0930,Rule Extrapolation in Language Models: A Study of Compositional Generalization on OOD Prompts,2024,arxiv,https://arxiv.org/pdf/2409.13728,1,,pending
P02_0931,Language Plays a Pivotal Role in the Object-Attribute Compositional Generalization of CLIP,2024,arxiv,https://arxiv.org/pdf/2403.18525,1,,pending
P02_0932,The Devil is in the Detail: Simple Tricks Improve Systematic Generalization of Transformers,2021,arxiv,https://arxiv.org/pdf/2108.12284,1,,pending
P02_0934,Three approaches to facilitate DNN generalization to objects in out-of-distribution orientations and illuminations,2021,arxiv,https://arxiv.org/pdf/2111.00131,1,,pending
P02_0935,Siamese recurrent networks learn first-order logic reasoning and exhibit zero-shot compositional generalization,2019,arxiv,https://arxiv.org/pdf/1906.00180,1,,pending
P02_0937,CLOSURE: Assessing Systematic Generalization of CLEVR Models,2019,arxiv,https://arxiv.org/pdf/1912.05783,1,,pending
P02_0939,Understanding out-of-distribution accuracies through quantifying difficulty of test samples,2022,arxiv,https://arxiv.org/pdf/2203.15100,1,,pending
P02_0940,SyGNS: A Systematic Generalization Testbed Based on Natural Language Semantics,2021,arxiv,https://arxiv.org/pdf/2106.01077,1,,pending
P02_0944,ORCHARD: A Benchmark For Measuring Systematic Generalization of Multi-Hierarchical Reasoning,2021,arxiv,https://arxiv.org/pdf/2111.14034,1,,pending
P02_0945,Atomic-to-Compositional Generalization for Mobile Agents with A New Benchmark and Scheduling System,2025,arxiv,https://arxiv.org/pdf/2506.08972,1,,pending
P02_0947,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,arxiv,https://arxiv.org/pdf/2502.20499,1,,pending
P02_0948,The Neural Data Router: Adaptive Control Flow in Transformers Improves Systematic Generalization,2021,arxiv,https://arxiv.org/pdf/2110.07732,1,,pending
P02_0949,Compositional Generalization from Learned Skills via CoT Training: A Theoretical and Structural Analysis for Reasoning,2025,arxiv,https://arxiv.org/pdf/2502.04667,1,,pending
P02_0951,Systematic Generalization and Emergent Structures in Transformers Trained on Structured Tasks,2022,arxiv,https://arxiv.org/pdf/2210.00400,1,,pending
P02_0956,Mixture Data for Training Cannot Ensure Out-of-distribution Generalization,2023,arxiv,https://arxiv.org/pdf/2312.16243,1,,pending
P02_0959,What makes Models Compositional? A Theoretical View: With Supplement,2024,arxiv,https://arxiv.org/pdf/2405.02350,1,,pending
P02_0962,Robust Subtask Learning for Compositional Generalization,2023,arxiv,https://arxiv.org/pdf/2302.02984,1,,pending
P02_0965,Causal Structural Hypothesis Testing and Data Generation Models,2022,arxiv,https://arxiv.org/pdf/2210.11275,1,,pending
P02_0967,Adversarial Reward Auditing for Active Detection and Mitigation of Reward Hacking,2026,arxiv,https://arxiv.org/pdf/2602.01750,1,,pending
P02_1159,Probing the Probes: Methods and Metrics for Concept Alignment,2025,arxiv,https://arxiv.org/pdf/2511.04312,1,,pending
P02_0002,Graph Representation Learning via Causal Diffusion for Out-of-Distribution Recommendation,2025,openalex,lookup-needed,2,10.1145/3696410.3714849,pending
P02_0004,Research on Causal Robustness Enhancement Methods and Out-of-Distribution Generalization for Deep Classification Models,2026,openalex,lookup-needed,2,10.1145/3795154.3795263,pending
P02_0005,Robust Neural Information Retrieval: An Adversarial and Out-of-Distribution Perspective,2025,openalex,lookup-needed,2,10.1145/3768153,pending
P02_0011,Beyond Mimicry: Toward Lifelong Adaptability in Imitation Learning,2026,openalex,lookup-needed,2,10.65109/ldhn8550,pending
P02_0016,Don't Blind Your VLA: Aligning Visual Representations for OOD Generalization,2026,openalex,lookup-needed,2,10.65109/pper9186,pending
P02_0018,Human Heterogeneity Invariant Stress Sensing,2025,openalex,lookup-needed,2,10.1145/3749465,pending
P02_0023,Environment Agnostic Invariant Risk Minimization for Classification of Sequential Datasets,2021,openalex,lookup-needed,2,10.1145/3447548.3467324,pending
P02_0031,Causal Disentangled Recommendation against User Preference Shifts,2023,openalex,lookup-needed,2,10.1145/3593022,pending
P02_0032,NILMBENCH2026: A Benchmark for Energy Disaggregation,2026,openalex,lookup-needed,2,10.1145/3744256.3812587,pending
P02_0033,Normalized Space Alignment: A Versatile Metric for Representation Analysis,2025,openalex,lookup-needed,2,10.1145/3711896.3737065,pending
P02_0034,Stereo-Fi: Free-Form 3D Reconstruction via Generatively Co-Trained Inverse RF Rendering,2026,openalex,lookup-needed,2,10.1145/3774906.3802762,pending
P02_0038,Test Optimization in DNN Testing: A Survey,2024,openalex,lookup-needed,2,10.1145/3643678,pending
P02_0045,,2022,openalex,lookup-needed,2,10.1145/3530911,pending
P02_0048,Mitigating Distributed Backdoor Attack in Federated Learning Through Mode Connectivity,2024,openalex,lookup-needed,2,10.1145/3634737.3637682,pending
P02_0051,Responsive DNN Adaptation for Video Analytics against Environment Shift via Hierarchical Mobile-Cloud Collaborations,2025,openalex,lookup-needed,2,10.1145/3715014.3722044,pending
P02_0054,The Worst of Both Worlds: A Comparative Analysis of Errors in Learning from Data in Psychology and Machine Learning,2022,openalex,lookup-needed,2,10.1145/3514094.3534196,pending
P02_0055,A.I. Robustness: a Human-Centered Perspective on Technological Challenges and Opportunities,2025,openalex,lookup-needed,2,10.1145/3665926,pending
P02_0058,A Survey of Model Inversion Attacks: An Interface-Prior Perspective,2026,openalex,lookup-needed,2,10.1145/3789456.3789473,pending
P02_0060,AI Alignment: A Contemporary Survey,2025,openalex,lookup-needed,2,10.1145/3770749,pending
P02_0064,Abstraction Alignment: Comparing Model-Learned and Human-Encoded Conceptual Relationships,2025,openalex,lookup-needed,2,10.1145/3706598.3713406,pending
P02_0066,A Survey of Dataset Refinement for Problems in Computer Vision Datasets,2024,openalex,lookup-needed,2,10.1145/3627157,pending
P02_0069,Uniformly Distributed Category Prototype-Guided Vision-Language Framework for Long-Tail Recognition,2023,openalex,lookup-needed,2,10.1145/3581783.3611904,pending
